sex;age;agegr;placesize;region;edu;eduspec;socprof;unempdur;income;marital;mmarr;ymarr;msepdiv;ysepdiv;ls;depress;trust;trustfam;trustneigh;sport;nofriend;smoke;nociga;alcabuse;alcsol;workab;wkabdur;wkabint;wkabintdur;emcc;englang;height;weight;bmi
FEMALE;23;16-24;RURAL AREAS;Podkarpackie;POST-SECONDARY OR HIGHER;economy and administration;PUPIL OR STUDENT;0;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;1;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;7;YES;15;NO;NO;NO;-8;NO;NA;NA;ACTIVE;176;73;23.56663223140496
MALE;60;60-64;URBAN 100,000-200,000;Warminsko-mazurskie;VOCATIONAL/GRAMMAR;production and processing;EMPLOYED IN PRIVATE SECTOR;0;1000;MARRIED;10;1977;NA;NA;MOSTLY SATISFIED;2;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;1;NO;-8;YES;YES;NO;-8;YES, TO EU COUNTRY;LESS THAN 1 TO 2 YEARS;GREAT BRITAIN;NONE;179;83;25.90431010268094
MALE;32;25-34;URBAN 20,000-100,000;Kujawsko-pomorskie;POST-SECONDARY OR HIGHER;technical science;EMPLOYED IN PRIVATE SECTOR;0;2500;MARRIED;6;2008;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;180;90;27.777777777777775
MALE;53;45-59;URBAN 200,000-500,000;Slaskie;POST-SECONDARY OR HIGHER;architecture and construction;SELF-EMPLOYED;0;-8;MARRIED;12;1980;NA;NA;PLEASED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;175;75;24.489795918367346
MALE;52;45-59;URBAN 200,000-500,000;Lubuskie;POST-SECONDARY OR HIGHER;pedagogics;EMPLOYED IN PUBLIC SECTOR;0;2800;MARRIED;6;1985;NA;NA;PLEASED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;2;YES;20;YES;NO;NO;-8;NO;NA;NA;ACTIVE;166;64;23.225431847873423
MALE;56;45-59;URBAN BELOW 20,000;Podkarpackie;VOCATIONAL/GRAMMAR;production and processing;LONG-TERM SICK/DISABLED;-8;700;SINGLE;NA;NA;NA;NA;MIXED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;185;95;27.757487216946675
FEMALE;59;45-59;RURAL AREAS;Warminsko-mazurskie;SECONDARY;agriculture, forestry, fishing;RETIRED;24;1000;WIDOWED;9;1972;12;1996;MIXED;6;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;-8;YES;10;NO;NO;NO;-8;NO;NA;NA;NONE;158;53;21.230572023714146
FEMALE;19;16-24;RURAL AREAS;Podkarpackie;VOCATIONAL/GRAMMAR;no specialisation;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;3;MOST PEOPLE CAN BE TRUSTED;NO;NO;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;168;51;18.069727891156464
FEMALE;65;65+;URBAN 100,000-200,000;Lubelskie;SECONDARY;social sciences;RETIRED;0;1400;WIDOWED;1;1968;6;2002;PLEASED;8;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;155;68;28.303850156087407
FEMALE;27;25-34;URBAN 500,000 AND OVER;Mazowieckie;POST-SECONDARY OR HIGHER;economy and administration;EMPLOYED IN PRIVATE SECTOR;0;3100;MARRIED;9;2008;NA;NA;PLEASED;2;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;162;64;24.38652644413961
MALE;57;45-59;RURAL AREAS;Malopolskie;SECONDARY;technical science;UNEMPLOYED;5;600;MARRIED;10;1978;NA;NA;MOSTLY SATISFIED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;168;90;31.88775510204082
FEMALE;46;45-59;RURAL AREAS;Podlaskie;SECONDARY;services for the population and transport services;FARMER;-8;1000;MARRIED;9;1988;NA;NA;PLEASED;6;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;168;86;30.470521541950117
MALE;32;25-34;URBAN BELOW 20,000;Warminsko-mazurskie;VOCATIONAL/GRAMMAR;architecture and construction;EMPLOYED IN PRIVATE SECTOR;0;1800;MARRIED;12;2008;NA;NA;MOSTLY SATISFIED;0;MOST PEOPLE CAN BE TRUSTED;YES;NO OPINION;NO;4;YES;10;NO;NO;YES;24;NO;NA;NA;PASSIVE;176;90;29.054752066115704
FEMALE;39;35-44;RURAL AREAS;Malopolskie;VOCATIONAL/GRAMMAR;production and processing;EMPLOYED IN PRIVATE SECTOR;0;1300;MARRIED;9;1994;NA;NA;PLEASED;2;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;15;YES;5;NO;NO;NO;-8;NO;NA;NA;NONE;165;53;19.467401285583104
MALE;71;65+;RURAL AREAS;Wielkopolskie;VOCATIONAL/GRAMMAR;production and processing;LONG-TERM SICK/DISABLED;24;700;MARRIED;10;1963;NA;NA;MOSTLY SATISFIED;4;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;20;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;176;76;24.535123966942148
MALE;69;65+;URBAN BELOW 20,000;Dolnoslaskie;POST-SECONDARY OR HIGHER;art;RETIRED;-8;2000;MARRIED;10;1969;NA;NA;PLEASED;4;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;7;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;175;76;24.816326530612244
FEMALE;81;65+;URBAN 200,000-500,000;Slaskie;PRIMARY/NO EDUCATION;no specialisation;LONG-TERM SICK/DISABLED;24;3300;WIDOWED;4;1963;11;1984;PLEASED;11;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;156;80;32.87310979618672
MALE;62;60-64;URBAN 20,000-100,000;Slaskie;POST-SECONDARY OR HIGHER;technical science;RETIRED;24;3200;MARRIED;8;1975;NA;NA;MOSTLY SATISFIED;8;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;8;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;185;110;32.14024835646457
FEMALE;60;60-64;RURAL AREAS;Lubelskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;700;WIDOWED;1;1971;2;2006;PLEASED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;0;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;164;73;27.141582391433676
FEMALE;64;60-64;URBAN 100,000-200,000;Malopolskie;SECONDARY;no specialisation;RETIRED;0;1300;MARRIED;5;1979;NA;NA;PLEASED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;160;75;29.296874999999993
MALE;61;60-64;RURAL AREAS;Slaskie;VOCATIONAL/GRAMMAR;services for the population and transport services;SELF-EMPLOYED;24;2900;MARRIED;6;1981;NA;NA;PLEASED;5;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;YES;NO;NO;-8;NO;NA;NA;NONE;160;78;30.468749999999993
FEMALE;40;35-44;RURAL AREAS;Mazowieckie;SECONDARY;no specialisation;EMPLOYED IN PRIVATE SECTOR;2;950;MARRIED;6;1991;NA;NA;MOSTLY SATISFIED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;7;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;163;68;25.59373706198954
MALE;21;16-24;URBAN BELOW 20,000;Podlaskie;SECONDARY;no specialisation;PUPIL OR STUDENT;-8;1000;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;180;102;31.48148148148148
MALE;70;65+;URBAN BELOW 20,000;Malopolskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;-8;2200;MARRIED;NA;1963;NA;NA;MOSTLY SATISFIED;0;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;1;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;187;80;22.877405702193368
FEMALE;31;25-34;RURAL AREAS;Lodzkie;SECONDARY;production and processing;LONG-TERM SICK/DISABLED;-8;480;SINGLE;NA;NA;NA;NA;MOSTLY DISSATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;4;NO;-8;NO;NO;NA;-8;NO;NA;NA;ACTIVE;166;65;23.588329220496444
MALE;49;45-59;URBAN BELOW 20,000;Podlaskie;VOCATIONAL/GRAMMAR;services for the population and transport services;SELF-EMPLOYED;-8;2500;MARRIED;10;1984;NA;NA;PLEASED;6;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;176;72;23.243801652892564
MALE;49;45-59;RURAL AREAS;Zachodnio-pomorskie;PRIMARY/NO EDUCATION;no specialisation;LONG-TERM SICK/DISABLED;-8;604;SINGLE;NA;NA;NA;NA;MIXED;1;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;176;76;24.535123966942148
MALE;21;16-24;RURAL AREAS;Lubelskie;SECONDARY;technical science;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;PLEASED;0;MOST PEOPLE CAN BE TRUSTED;YES;NO;NO;6;NO;-8;YES;NO;NO;-8;YES, TO EU COUNTRY;LESS THAN 1 YEAR;GREAT BRITAIN;ACTIVE;170;75;25.95155709342561
FEMALE;23;16-24;URBAN 100,000-200,000;Lodzkie;SECONDARY;no specialisation;PUPIL OR STUDENT;24;-8;SINGLE;NA;NA;NA;NA;PLEASED;0;IT`S DIFFICULT TO TELL;YES;NO;NO;6;NO;-8;YES;YES;NA;-8;NO;NA;NA;ACTIVE;160;53;20.703124999999996
MALE;60;60-64;URBAN BELOW 20,000;Lubuskie;VOCATIONAL/GRAMMAR;technical science;EMPLOYED IN PRIVATE SECTOR;24;2000;MARRIED;8;1973;NA;NA;MOSTLY SATISFIED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;YES;18;NO;YES;NO;-8;NO;NA;NA;NONE;180;78;24.074074074074073
MALE;63;60-64;RURAL AREAS;Lodzkie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;1700;MARRIED;10;1971;NA;NA;PLEASED;12;IT`S DIFFICULT TO TELL;NO OPINION;NO OPINION;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;176;80;25.826446280991735
MALE;18;16-24;URBAN 100,000-200,000;Kujawsko-pomorskie;PRIMARY/NO EDUCATION;no specialisation;PUPIL OR STUDENT;0;NA;SINGLE;NA;NA;NA;NA;MIXED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;NO;5;YES;20;NO;NO;NA;-8;NO;NA;NA;ACTIVE;189;84;23.515579071134628
FEMALE;80;65+;URBAN 20,000-100,000;Pomorskie;SECONDARY;no specialisation;RETIRED;-8;2000;WIDOWED;4;1955;8;1990;MOSTLY SATISFIED;5;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;1;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;158;70;28.040378144528116
FEMALE;32;25-34;RURAL AREAS;Mazowieckie;POST-SECONDARY OR HIGHER;biological sciences;EMPLOYED IN PRIVATE SECTOR;0;-8;MARRIED;2;2007;NA;NA;MOSTLY SATISFIED;0;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;NA;NA;NA
FEMALE;70;65+;RURAL AREAS;Lubelskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;780;WIDOWED;4;1960;9;2004;MIXED;8;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;164;70;26.026174895895306
FEMALE;78;65+;URBAN 100,000-200,000;Lubelskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;3900;WIDOWED;NA;1955;NA;2002;PLEASED;10;ONE CAN`T BE TOO CAREFUL;NA;NA;YES;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;155;66;27.47138397502601
MALE;78;65+;URBAN 100,000-200,000;Swietokrzyskie;VOCATIONAL/GRAMMAR;technical science;RETIRED;-8;-8;MARRIED;12;1961;NA;NA;MOSTLY SATISFIED;11;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;170;65;22.49134948096886
MALE;44;35-44;URBAN 100,000-200,000;Zachodnio-pomorskie;POST-SECONDARY OR HIGHER;pedagogics;EMPLOYED IN PUBLIC SECTOR;0;4000;MARRIED;10;1991;NA;NA;PLEASED;3;ONE CAN`T BE TOO CAREFUL;YES;NO;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;173;80;26.729927495071667
MALE;19;16-24;RURAL AREAS;Malopolskie;VOCATIONAL/GRAMMAR;no specialisation;PUPIL OR STUDENT;-8;-8;SINGLE;NA;NA;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;NO;10;NO;-8;NO;NO;NA;-8;YES, TO EU COUNTRY;IT DEPENDS;NA;ACTIVE;194;77;20.45913487086832
FEMALE;26;25-34;RURAL AREAS;Lubelskie;POST-SECONDARY OR HIGHER;liberal arts;EMPLOYED IN PRIVATE SECTOR;0;1200;SINGLE;NA;NA;NA;NA;PLEASED;0;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;ACTIVE;168;65;23.030045351473927
FEMALE;52;45-59;URBAN 100,000-200,000;Malopolskie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PRIVATE SECTOR;-8;1300;WIDOWED;4;1977;5;1999;MIXED;4;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;YES;2;YES;15;NO;NO;NO;-8;NO;NA;NA;NONE;168;69;24.44727891156463
MALE;22;16-24;URBAN 200,000-500,000;Dolnoslaskie;VOCATIONAL/GRAMMAR;technical science;PUPIL OR STUDENT;24;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;3;NO;-8;NO;NO;NA;-8;NO;NA;NA;ACTIVE;178;80;25.24933720489837
FEMALE;37;35-44;URBAN 500,000 AND OVER;Mazowieckie;POST-SECONDARY OR HIGHER;economy and administration;EMPLOYED IN PUBLIC SECTOR;0;1800;MARRIED;4;2000;NA;NA;PLEASED;5;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;20;YES;3;NO;YES;NO;-8;NO;NA;NA;PASSIVE;165;60;22.03856749311295
FEMALE;30;25-34;RURAL AREAS;Lodzkie;SECONDARY;economy and administration;OTHER ECONOMICALLY INACTIVE;24;NA;MARRIED;9;2003;NA;NA;MOSTLY SATISFIED;4;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;165;70;25.71166207529844
MALE;21;16-24;RURAL AREAS;Podkarpackie;SECONDARY;technical science;PUPIL OR STUDENT;-8;260;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;4;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;NO;1;NO;-8;NO;NO;NO;-8;YES, TO EU COUNTRY;LESS THAN 1 YEAR;NA;PASSIVE;174;70;23.120623596247853
FEMALE;27;25-34;URBAN BELOW 20,000;Wielkopolskie;SECONDARY;social sciences;EMPLOYED IN PRIVATE SECTOR;0;4800;SINGLE;NA;NA;NA;NA;PLEASED;6;IT`S DIFFICULT TO TELL;YES;NO;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;170;65;22.49134948096886
MALE;54;45-59;URBAN 500,000 AND OVER;Mazowieckie;POST-SECONDARY OR HIGHER;technical science;EMPLOYED IN PRIVATE SECTOR;0;5000;MARRIED;9;1983;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;99;NO;-8;YES;YES;NO;-8;NO;NA;NA;PASSIVE;175;84;27.428571428571427
MALE;43;35-44;RURAL AREAS;Lubelskie;VOCATIONAL/GRAMMAR;agriculture, forestry, fishing;FARMER;0;-8;MARRIED;4;1993;NA;NA;MOSTLY SATISFIED;0;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;20;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;182;105;31.69907016060862
MALE;19;16-24;URBAN BELOW 20,000;Malopolskie;VOCATIONAL/GRAMMAR;no specialisation;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;8;NO;-8;NO;NO;NA;-8;NO;NA;NA;PASSIVE;180;65;20.061728395061728
FEMALE;37;35-44;RURAL AREAS;Wielkopolskie;POST-SECONDARY OR HIGHER;services for the population and transport services;SELF-EMPLOYED;0;-8;MARRIED;NA;NA;NA;NA;PLEASED;5;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;1;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;161;69;26.61934338952972
MALE;62;60-64;URBAN 100,000-200,000;Pomorskie;VOCATIONAL/GRAMMAR;technical science;RETIRED;0;1900;DIVORCED;NA;NA;NA;NA;MOSTLY SATISFIED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;40;YES;10;NO;NO;NO;-8;NO;NA;NA;NONE;182;91;27.47252747252747
MALE;53;45-59;URBAN 100,000-200,000;Zachodnio-pomorskie;VOCATIONAL/GRAMMAR;technical science;EMPLOYED IN PRIVATE SECTOR;0;-8;MARRIED;10;1979;NA;NA;MOSTLY SATISFIED;6;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;0;YES;25;NO;NO;NO;-8;YES, TO EU COUNTRY;IT DEPENDS;GERMANY;NONE;170;65;22.49134948096886
MALE;45;45-59;URBAN 100,000-200,000;Lubuskie;VOCATIONAL/GRAMMAR;technical science;EMPLOYED IN PRIVATE SECTOR;0;1700;MARRIED;10;1991;NA;NA;PLEASED;3;IT`S DIFFICULT TO TELL;YES;NO OPINION;NO;2;NO;-8;NO;YES;NO;-8;NO;NA;NA;NONE;178;110;34.71783865673526
FEMALE;32;25-34;URBAN 20,000-100,000;Slaskie;VOCATIONAL/GRAMMAR;production and processing;UNEMPLOYED;24;-8;WIDOWED;7;1998;10;2007;MIXED;8;ONE CAN`T BE TOO CAREFUL;YES;NO;YES;0;YES;20;NO;NO;NA;-8;NO;NA;NA;NONE;160;81;31.640624999999993
FEMALE;57;45-59;URBAN 200,000-500,000;Slaskie;PRIMARY/NO EDUCATION;no specialisation;LONG-TERM SICK/DISABLED;24;450;MARRIED;12;1973;NA;NA;MIXED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;4;YES;8;NO;NO;NO;-8;NO;NA;NA;NONE;154;56;23.61275088547816
FEMALE;38;35-44;URBAN 100,000-200,000;Mazowieckie;VOCATIONAL/GRAMMAR;services for the population and transport services;EMPLOYED IN PRIVATE SECTOR;0;1400;DIVORCED;4;1996;2;2011;MOSTLY DISSATISFIED;8;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;YES;10;NO;NO;NO;-8;NO;NA;NA;NONE;160;58;22.656249999999996
FEMALE;43;35-44;URBAN BELOW 20,000;Lubelskie;SECONDARY;no specialisation;UNEMPLOYED;18;1000;DE FACTO SEPARATED;8;2001;3;2010;MOSTLY DISSATISFIED;3;MOST PEOPLE CAN BE TRUSTED;YES;YES;YES;1;YES;10;NO;NO;NO;-8;NO;NA;NA;NONE;165;50;18.36547291092746
MALE;50;45-59;RURAL AREAS;Warminsko-mazurskie;VOCATIONAL/GRAMMAR;architecture and construction;OTHER ECONOMICALLY INACTIVE;9;NA;LEGALLY SEPARATED;3;1982;NA;1999;MIXED;8;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;YES;3;YES;20;YES;YES;NO;-8;NO;NA;NA;NONE;174;78;25.762980578676178
FEMALE;62;60-64;URBAN BELOW 20,000;Malopolskie;VOCATIONAL/GRAMMAR;services for the population and transport services;LONG-TERM SICK/DISABLED;0;450;MARRIED;10;1974;NA;NA;MOSTLY SATISFIED;10;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;5;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;163;64;24.088223117166624
FEMALE;55;45-59;URBAN BELOW 20,000;Warminsko-mazurskie;SECONDARY;technical science;EMPLOYED IN PRIVATE SECTOR;0;1600;MARRIED;8;1975;NA;NA;MOSTLY SATISFIED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;160;56;21.874999999999996
MALE;17;16-24;URBAN 500,000 AND OVER;Mazowieckie;PRIMARY/NO EDUCATION;no specialisation;PUPIL OR STUDENT;0;NA;SINGLE;NA;NA;NA;NA;MOSTLY SATISFIED;5;MOST PEOPLE CAN BE TRUSTED;YES;NO;NO;10;NO;-8;NO;NO;NA;-8;NO;NA;NA;NONE;180;70;21.604938271604937
FEMALE;79;65+;RURAL AREAS;Kujawsko-pomorskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;-8;950;WIDOWED;6;1952;4;1984;PLEASED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;162;65;24.76756591982929
FEMALE;43;35-44;RURAL AREAS;Kujawsko-pomorskie;VOCATIONAL/GRAMMAR;production and processing;LONG-TERM SICK/DISABLED;0;1000;MARRIED;9;2009;NA;NA;PLEASED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;4;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;NA;NA;NA
FEMALE;46;45-59;URBAN 200,000-500,000;Podkarpackie;PRIMARY/NO EDUCATION;no specialisation;LONG-TERM SICK/DISABLED;0;620;DIVORCED;7;1988;3;1996;MOSTLY DISSATISFIED;19;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;1;YES;6;NO;NO;NO;-8;NO;NA;NA;NONE;165;44;16.161616161616163
MALE;44;35-44;URBAN 100,000-200,000;Dolnoslaskie;VOCATIONAL/GRAMMAR;technical science;EMPLOYED IN PRIVATE SECTOR;0;1600;MARRIED;3;1989;NA;NA;PLEASED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;5;YES;7;NO;NO;NO;-8;NO;NA;NA;NONE;172;95;32.11195240670633
MALE;19;16-24;RURAL AREAS;Podkarpackie;VOCATIONAL/GRAMMAR;no specialisation;PUPIL OR STUDENT;-8;NA;SINGLE;NA;NA;NA;NA;MIXED;0;IT`S DIFFICULT TO TELL;NO OPINION;NO;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;188;78;22.068809416025353
FEMALE;35;35-44;RURAL AREAS;Mazowieckie;POST-SECONDARY OR HIGHER;pedagogics;EMPLOYED IN PUBLIC SECTOR;0;2000;MARRIED;11;1994;NA;NA;MOSTLY SATISFIED;9;ONE CAN`T BE TOO CAREFUL;YES;NO;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;154;65;27.40765727778715
MALE;22;16-24;URBAN 100,000-200,000;Pomorskie;SECONDARY;technical science;UNEMPLOYED;0;470;SINGLE;NA;NA;NA;NA;MOSTLY DISSATISFIED;5;ONE CAN`T BE TOO CAREFUL;NO OPINION;NO OPINION;NO;0;YES;2;YES;YES;NA;-8;YES, TO EU COUNTRY;IT DEPENDS;GERMANY;PASSIVE;185;90;26.296566837107374
MALE;31;25-34;RURAL AREAS;Wielkopolskie;PRIMARY/NO EDUCATION;no specialisation;EMPLOYED IN PRIVATE SECTOR;-8;1180;MARRIED;1;2007;NA;NA;PLEASED;0;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;180;117;36.11111111111111
FEMALE;53;45-59;URBAN 100,000-200,000;Lodzkie;VOCATIONAL/GRAMMAR;technical science;OTHER ECONOMICALLY INACTIVE;22;NA;MARRIED;5;1980;NA;NA;MOSTLY SATISFIED;6;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;13;YES;15;NO;NO;NO;-8;NO;NA;NA;NONE;164;75;27.885187388459254
MALE;39;35-44;URBAN 20,000-100,000;Slaskie;SECONDARY;technical science;EMPLOYED IN PRIVATE SECTOR;0;2500;MARRIED;8;2001;NA;NA;PLEASED;2;IT`S DIFFICULT TO TELL;YES;NO OPINION;YES;10;YES;3;NO;NO;NO;-8;NO;NA;NA;NONE;176;75;24.212293388429753
MALE;43;35-44;RURAL AREAS;Opolskie;VOCATIONAL/GRAMMAR;services for the population and transport services;FARMER;0;700;MARRIED;11;1998;NA;NA;TERRIBLE;6;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;3;YES;40;NO;NO;NO;-8;YES, TO EU COUNTRY;LESS THAN 1 YEAR;GERMANY;NONE;180;95;29.320987654320987
FEMALE;65;65+;RURAL AREAS;Malopolskie;VOCATIONAL/GRAMMAR;services for the population and transport services;RETIRED;-8;620;MARRIED;7;1969;NA;NA;PLEASED;7;ONE CAN`T BE TOO CAREFUL;YES;YES;NO;10;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;158;58;23.233456176894723
MALE;75;65+;RURAL AREAS;Podkarpackie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;12;850;SINGLE;NA;NA;NA;NA;MOSTLY DISSATISFIED;16;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;2;NO;-8;NO;NO;NO;-8;NO;NA;NA;NONE;170;60;20.761245674740486
MALE;66;65+;URBAN BELOW 20,000;Swietokrzyskie;PRIMARY/NO EDUCATION;no specialisation;RETIRED;24;1200;MARRIED;4;1968;NA;NA;MOSTLY SATISFIED;3;ONE CAN`T BE TOO CAREFUL;YES;NO OPINION;YES;2;YES;20;NO;NO;NO;-8;NO;NA;NA;NONE;170;70;24.221453287197235
FEMALE;40;35-44;RURAL AREAS;Podkarpackie;SECONDARY;no specialisation;FARMER;0;NA;MARRIED;2;1992;NA;NA;MOSTLY SATISFIED;9;ONE CAN`T BE TOO CAREFUL;YES;YES;YES;7;YES;8;NO;NO;NO;-8;NO;NA;NA;NONE;170;70;24.221453287197235
FEMALE;36;35-44;URBAN BELOW 20,000;Lubelskie;POST-SECONDARY OR HIGHER;social sciences;UNEMPLOYED;0;NA;MARRIED;4;2001;NA;NA;PLEASED;0;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;6;NO;-8;NO;NO;NO;-8;NO;NA;NA;PASSIVE;172;78;26.365603028664147
MALE;63;60-64;URBAN 500,000 AND OVER;Dolnoslaskie;SECONDARY;technical science;RETIRED;-8;4800;MARRIED;2;1979;NA;NA;PLEASED;5;MOST PEOPLE CAN BE TRUSTED;YES;YES;NO;3;NO;-8;NO;NO;NO;-8;NO;NA;NA;NA;162;80;30.48315805517451
